Rodadas,Bahia,Brusque,Chapecoense,CRB,Criciúma,Cruzeiro,CSA,Guarani,Grêmio,Ituano,Londrina,Náutico,Novorizontino,Operário-PR,Ponte Preta,Sampaio Corrêa,Sport,Tombense,Vasco,Vila Nova-GO
Rodada 1,3,3,1,1,3,0,1,0,1,1,3,0,1,1,1,0,3,1,1,1
Rodada 2,6,3,4,1,4,3,2,1,1,2,3,0,2,4,1,1,4,2,2,2
Rodada 3,7,3,5,1,4,4,2,1,4,5,4,3,2,4,4,4,5,3,3,2
Rodada 4,10,6,8,1,5,7,5,4,7,5,4,6,3,4,4,4,8,4,6,3
Rodada 5,10,6,8,1,6,10,6,5,10,8,5,7,6,5,7,5,8,5,7,4
Rodada 6,13,7,9,4,6,13,6,6,10,8,5,7,9,8,8,5,11,5,10,7
Rodada 7,13,7,9,4,9,16,7,7,11,9,8,7,12,9,8,8,14,6,13,7
Rodada 8,16,10,10,7,10,19,8,8,12,9,8,8,13,12,8,8,15,6,14,8
Rodada 9,16,10,11,10,10,22,11,8,13,10,11,9,13,12,9,11,15,9,17,9
Rodada 10,19,10,12,11,10,25,12,9,14,10,12,12,14,12,9,12,18,12,18,10
Rodada 11,22,13,12,11,13,28,13,9,17,10,15,12,14,15,12,12,18,13,21,10
Rodada 12,25,13,15,14,16,28,13,12,18,13,15,12,14,15,12,15,19,16,24,10
Rodada 13,25,16,15,15,16,31,14,13,21,14,18,13,14,16,12,15,20,19,27,11
Rodada 14,25,16,15,18,19,34,15,13,22,17,18,14,17,16,13,16,21,20,30,11
Rodada 15,28,17,18,19,20,37,15,13,25,17,19,15,20,19,14,19,21,21,33,12
Rodada 16,29,17,18,20,23,38,16,14,26,18,22,18,20,19,15,19,22,22,33,12
Rodada 17,30,20,18,23,23,38,16,17,29,18,22,18,23,19,18,22,25,25,34,13
Rodada 18,33,20,21,24,24,41,19,17,32,19,23,18,23,20,19,25,26,25,37,13
Rodada 19,34,21,22,25,24,42,20,18,33,20,26,18,26,20,22,25,27,28,37,14
Rodada 20,34,22,22,28,27,45,20,19,36,23,29,18,26,21,22,28,27,29,38,17
Rodada 21,37,23,23,28,28,46,20,19,37,26,30,18,27,21,25,28,30,32,38,18
Rodada 22,40,24,24,29,29,49,20,19,40,27,33,18,27,24,26,29,31,32,41,19
Rodada 23,40,25,25,29,30,52,23,20,43,30,33,21,28,24,29,32,31,33,42,20
Rodada 24,43,28,26,32,30,53,23,23,43,30,34,21,31,25,29,33,34,33,42,21
Rodada 25,44,28,29,35,33,54,26,23,44,33,35,21,31,25,32,33,34,36,45,24
Rodada 26,47,28,29,36,34,57,27,26,44,36,38,21,32,26,33,34,37,36,45,25
Rodada 27,47,28,29,36,37,58,30,26,44,37,41,21,32,27,36,35,40,39,45,28
Rodada 28,50,31,32,39,38,59,31,29,47,37,41,24,33,30,36,35,40,39,48,28
Rodada 29,51,31,32,40,39,62,32,29,50,40,44,27,33,30,39,38,40,39,48,31
Rodada 30,51,31,35,40,40,65,32,32,50,41,45,27,36,30,40,39,43,40,48,34
Rodada 31,52,31,35,40,43,68,35,35,53,44,45,27,36,31,43,42,43,40,51,37
Rodada 32,52,31,38,40,46,71,35,38,53,47,46,27,36,32,43,45,46,43,51,38
Rodada 33,53,31,38,43,46,72,35,41,56,48,46,30,37,32,43,48,49,43,52,41
Rodada 34,56,31,39,46,49,72,36,41,57,51,47,30,37,33,44,49,52,43,55,42
Rodada 35,57,32,39,46,52,72,36,44,58,51,50,30,40,34,45,52,53,44,58,45
Rodada 36,58,33,42,49,52,72,39,47,61,54,53,30,41,34,45,52,53,44,59,46
Rodada 37,59,34,45,50,53,75,42,48,62,57,53,30,41,34,46,55,56,45,62,46
Rodada 38,62,34,45,50,56,78,42,51,65,57,53,30,44,34,49,58,57,45,62,47
